id,block,trial,gesture,manipulation,direction,magnitude,time,recognized,correct
14,0,5,5,1,0,0,1702,5,true
14,0,6,5,1,0,0,1681,5,true
14,1,0,7,1,1,0,2384,7,true
14,1,1,7,1,1,0,2250,7,true
14,1,2,7,1,1,0,2060,7,true
14,1,3,7,1,1,0,2182,7,true
14,1,4,7,1,1,0,1907,7,true
14,1,5,7,1,1,0,2478,7,true
14,1,6,7,1,1,0,2189,7,true
14,2,0,11,2,1,0,6036,0,false
14,2,1,11,2,1,0,2594,11,true
14,2,2,11,2,1,0,2952,11,true
14,2,3,11,2,1,0,2524,11,true
14,2,4,11,2,1,0,2907,11,true
14,2,5,11,2,1,0,3105,11,true
14,2,6,11,2,1,0,3037,11,true
14,3,0,2,0,0,1,5916,2,true
14,3,1,2,0,0,1,5417,2,true
14,3,2,2,0,0,1,3935,2,true
14,3,3,2,0,0,1,4587,2,true
14,3,4,2,0,0,1,4713,2,true
14,3,5,2,0,0,1,4232,2,true
14,3,6,2,0,0,1,4662,2,true
14,4,0,10,2,0,1,3620,10,true
14,4,1,10,2,0,1,3415,10,true
14,4,2,10,2,0,1,3464,10,true
14,4,3,10,2,0,1,3380,10,true
14,4,4,10,2,0,1,3280,10,true
14,4,5,10,2,0,1,3239,10,true
14,4,6,10,2,0,1,2794,10,true
14,5,0,8,1,1,1,2813,8,true
14,5,1,8,1,1,1,3040,8,true
14,5,2,8,1,1,1,2557,8,true
14,5,3,8,1,1,1,2032,8,true
14,5,4,8,1,1,1,2497,8,true
14,5,5,8,1,1,1,2666,8,true
14,5,6,8,1,1,1,2433,8,true
14,6,0,6,1,0,1,2295,6,true
14,6,1,6,1,0,1,2486,6,true
14,6,2,6,1,0,1,5448,6,true
14,6,3,6,1,0,1,2365,6,true
14,6,4,6,1,0,1,2079,6,true
14,6,5,6,1,0,1,2487,6,true
14,6,6,6,1,0,1,2172,6,true
14,7,0,9,2,0,0,2389,9,true
14,7,1,9,2,0,0,6035,0,false
14,7,2,9,2,0,0,6008,0,false
14,7,3,9,2,0,0,3405,9,true
14,7,4,9,2,0,0,6012,0,false
14,7,5,9,2,0,0,3079,9,true
14,7,6,9,2,0,0,3140,9,true
14,8,0,3,0,1,0,3544,3,true
14,8,1,3,0,1,0,2989,3,true
14,8,2,3,0,1,0,2174,3,true
14,8,3,3,0,1,0,3320,3,true
14,8,4,3,0,1,0,2334,3,true
14,8,5,3,0,1,0,1815,3,true
14,8,6,3,0,1,0,1855,3,true
14,9,0,1,0,0,0,6019,0,false
14,9,1,1,0,0,0,3785,1,true
14,9,2,1,0,0,0,6015,0,false
14,9,3,1,0,0,0,6027,0,false
14,9,4,1,0,0,0,6027,0,false
14,9,5,1,0,0,0,6031,0,false
14,9,6,1,0,0,0,6009,0,false
14,10,0,12,2,1,1,4736,12,true
14,10,1,12,2,1,1,3313,12,true
14,10,2,12,2,1,1,3649,12,true
14,10,3,12,2,1,1,4000,12,true
14,10,4,12,2,1,1,3474,12,true
14,10,5,12,2,1,1,3741,12,true
14,10,6,12,2,1,1,2974,12,true
14,11,0,4,0,1,1,3494,4,true
14,11,1,4,0,1,1,2582,4,true
14,11,2,4,0,1,1,4316,4,true
14,11,3,4,0,1,1,3581,4,true
14,11,4,4,0,1,1,3123,4,true
14,11,5,4,0,1,1,3440,4,true
14,11,6,4,0,1,1,2530,4,true
15,0,0,5,1,0,0,4159,5,true
15,0,1,5,1,0,0,3515,5,true
15,0,2,5,1,0,0,2988,5,true
15,0,3,5,1,0,0,2554,5,true
15,0,4,5,1,0,0,2300,5,true
15,0,5,5,1,0,0,2437,5,true
15,0,6,5,1,0,0,2315,5,true
15,1,0,4,0,1,1,6021,0,false
15,1,1,4,0,1,1,6014,0,false
15,1,2,4,0,1,1,3997,4,true
15,1,3,4,0,1,1,5102,4,true
15,1,4,4,0,1,1,4849,4,true
15,1,5,4,0,1,1,5492,4,true
15,1,6,4,0,1,1,6023,0,false
15,2,0,7,1,1,0,2555,7,true
15,2,1,7,1,1,0,2697,7,true
15,2,2,7,1,1,0,2276,7,true
15,2,3,7,1,1,0,2061,7,true
15,2,4,7,1,1,0,1943,7,true
15,2,5,7,1,1,0,2139,7,true
15,2,6,7,1,1,0,1709,7,true
15,3,0,11,2,1,0,2367,11,true
15,3,1,11,2,1,0,3044,11,true
15,3,2,11,2,1,0,2383,11,true
15,3,3,11,2,1,0,3182,11,true
15,3,4,11,2,1,0,2432,11,true
15,3,5,11,2,1,0,2722,11,true
15,3,6,11,2,1,0,2864,11,true
15,4,0,10,2,0,1,3588,10,true
15,4,1,10,2,0,1,2828,10,true
15,4,2,10,2,0,1,3505,10,true
15,4,3,10,2,0,1,3521,10,true
15,4,4,10,2,0,1,6033,0,false
15,4,5,10,2,0,1,3099,10,true
15,4,6,10,2,0,1,2584,10,true
15,5,0,9,2,0,0,2316,9,true
15,5,1,9,2,0,0,3151,9,true
15,5,2,9,2,0,0,3411,9,true
15,5,3,9,2,0,0,2771,9,true
15,5,4,9,2,0,0,2723,9,true
15,5,5,9,2,0,0,3359,9,true
15,5,6,9,2,0,0,2708,9,true
15,6,0,1,0,0,0,3014,1,true
15,6,1,1,0,0,0,2986,1,true
15,6,2,1,0,0,0,4208,1,true
15,6,3,1,0,0,0,6008,0,false
