id,manipulation,type,likert
2,flipping,comfort,Strongly disagree
3,flipping,comfort,Somewhat disagree
4,flipping,comfort,Strongly disagree
5,flipping,comfort,Disagree
6,flipping,comfort,Disagree
7,flipping,comfort,Disagree
8,flipping,comfort,Somewhat disagree
9,flipping,comfort,Somewhat disagree
10,flipping,comfort,Strongly disagree
11,flipping,comfort,Strongly disagree
12,flipping,comfort,Disagree
13,flipping,comfort,Disagree
14,flipping,comfort,Somewhat agree
15,flipping,comfort,Somewhat disagree
16,flipping,comfort,Disagree
17,flipping,comfort,Strongly disagree
18,flipping,comfort,Strongly disagree
19,flipping,comfort,Agree
20,flipping,comfort,Disagree
21,flipping,comfort,Somewhat disagree
22,flipping,comfort,Neither agree nor disagree
23,flipping,comfort,Disagree
24,flipping,comfort,Disagree
25,flipping,comfort,Somewhat disagree
26,flipping,comfort,Neither agree nor disagree
27,flipping,comfort,Somewhat agree
28,flipping,comfort,Somewhat disagree
29,flipping,comfort,Strongly disagree
